pop,TajimaD,natnon
aka,0.566164436588066,Japan
ave,0.789201962606814,Non-native
cfj,0.81730414005966,Non-native
cnt,0.759585048918529,Japan
dhh,1.04331508058762,Non-native
dns,1.39633802842801,Non-native
ebp,0.482591377408177,Non-native
eld,1.50059486831169,Non-native
far,0.807369286973597,Non-native
fdm,0.781872704908019,Non-native
fpa,0.693208841766533,Non-native
fut,0.663168839161785,Japan
gal,0.831368150010458,Non-native
grb,0.914568291247689,Non-native
hay,0.691463928616455,Japan
hik,0.634180176316645,Japan
lhp,0.969146763786648,Non-native
mng,0.457689964597355,Japan
mou,0.645584143843243,Japan
nyc,1.00974658086791,Non-native
osh,0.489989263841899,Non-native
pmo,1.40714768840666,Non-native
ptw,0.908161353119897,Non-native
sav,0.966813168324263,Non-native
shk,0.520538301614484,Japan
sou,0.496882449846443,Japan
tmb,0.587876716458112,Non-native
uho,0.598151801339899,Non-native
usu,0.425289756581126,Japan
waj,0.599316681243107,Japan
wwf,0.566733400220464,Non-native
bob,1.43690688684294,Non-native
fpl,1.49435398257725,Non-native
dhd,0.911843740911616,Non-native
ris,0.577980214645189,Non-native
