pop,sites.pi,natnon
aka,0.0949985729623838,Japan
ave,0.106619936330941,Non-native
cfj,0.120801455818714,Non-native
cnt,0.0872763938717637,Japan
dhh,0.0315461439963067,Non-native
dns,0.103742232179731,Non-native
ebp,0.122542409813008,Non-native
eld,0.139356565261657,Non-native
far,0.134529683101187,Non-native
fdm,0.118397638101681,Non-native
fpa,0.134816813336996,Non-native
fut,0.0658232604150597,Japan
gal,0.147688236373107,Non-native
grb,0.0937296914476197,Non-native
hay,0.0748176565957601,Japan
hik,0.0596727496553966,Japan
lhp,0.111647003796816,Non-native
mng,0.13945733593987,Japan
mou,0.0829335137762159,Japan
nyc,0.112473055862301,Non-native
osh,0.138528398273415,Non-native
pmo,0.108911640174933,Non-native
ptw,0.151089653145034,Non-native
sav,0.100807880496094,Non-native
shk,0.0684554749464588,Japan
sou,0.129378719245795,Japan
tmb,0.129469221602048,Non-native
uho,0.131688363014176,Non-native
usu,0.0883234243903689,Japan
waj,0.101648100651578,Japan
wwf,0.136402488173611,Non-native
bob,0.101526801212283,Non-native
fpl,0.107114030640897,Non-native
dhd,0.0858201561146579,Non-native
ris,0.0415329391189427,Non-native
